Number,ISLAND,FID,timeYrs,Delta,Censorship,Area_ha_Cov1,Area_Cov1_LogTrans,Latitude_Cov2,Erad_Numb_Cov3,EradNumb_Cov2_logx+1
1,"ADELE I., Tasman Bay",5326,107,1,Uncensored,88.29519535,1.945937072,-40.982527,5,0.77815125
2,ALDERMEN IS Hongiora,6179,117,0,Right Censored,15.54919528,1.191707918,-36.95708,0,0
3,ALDERMEN IS Middle Chain,6170,92,1,Uncensored,21.75995022,1.337657898,-36.957024,1,0.301029996
4,ALDERMEN IS Ruamahuaiti,6137,117,0,Right Censored,23.78804266,1.376358709,-36.975245,0,0
5,ALDERMEN IS Ruamahuanui,6186,117,0,Right Censored,30.35547765,1.482237071,-36.953592,0,0
6,"ALLPORTS I.,Queen Charlotte Sd",5101,89,1,Uncensored,16.46974645,1.216686913,-41.237194,6,0.84509804
7,"ANCHOR I.,Dusky Sd",3594,101,1,Uncensored,1136.611315,3.055611975,-45.758764,2,0.477121255
8,"ANCHORAGE I.,Port Pegasus",1015,117,0,Right Censored,140.6418956,2.148114711,-47.204261,5,0.77815125
9,ARAPAWA I.,282,117,0,Right Censored,7603.435584,3.881009871,-41.194623,0,0
10,BARE (MOTU-O-KURA) I.,5834,91,1,Uncensored,12.3249023,1.090783485,-39.833291,1,0.301029996
11,"BAUZA I.,Doubtful Sd",4131,102,1,Uncensored,461.5640064,2.664231934,-45.29343,1,0.301029996
12,"BENCH (COLL) I.,E.Stewart I.",1632,117,0,Right Censored,175.3387234,2.24387784,-46.908333,2,0.477121255
13,"BETSY I.,Boat Gp",1141,117,0,Right Censored,5.70231204,0.756050979,-47.129666,0,0
14,"BIG I.,Boat Gp",1124,117,0,Right Censored,22.70399506,1.356102284,-47.137297,0,0
15,BIG SOUTH CAPE I.,935,106,1,Uncensored,922.0808234,2.96476899,-47.234597,1,0.301029996
16,"BIRD I.,W. of Ruapuke I.",1895,117,0,Right Censored,25.73776158,1.410570773,-46.768554,0,0
17,"BLUMINE I.,Queen Charlotte Sd",5127,105,1,Uncensored,395.592047,2.597247552,-41.175833,4,0.698970004
18,"BREAKSEA I.,Breaksea Sd",3963,88,1,Uncensored,152.8784328,2.184346222,-45.579194,1,0.301029996
19,"BREAKSEA IS,SE Stewart I. Kaihuka",1236,117,0,Right Censored,10.53489471,1.0226302,-47.113931,1,0.301029996
20,"BREAKSEA IS,SE Stewart I. Rukawahak",1265,117,0,Right Censored,23.26413131,1.36668684,-47.104394,0,0
21,"BREAKSEA IS,SE Stewart I. Wharepuia",1226,117,0,Right Censored,18.56707019,1.268743379,-47.116242,1,0.301029996
22,BROTHERS IS Little Brother,5202,117,0,Right Censored,2.924728472,0.466085553,-41.103039,0,0
23,BROTHERS IS Southern Brother,5173,117,0,Right Censored,7.284399253,0.862393741,-41.114699,0,0
24,"BROWNS(MOTUKOREA) I.,Hauraki Gf",375,95,1,Uncensored,60.37342128,1.780845787,-36.832111,4,0.698970004
25,"CASNELL I.,Mahurangi Heads",6784,117,0,Right Censored,6.742499446,0.828820919,-36.4902,0,0
26,"CASTLE I.,E. Coromandel",6259,117,0,Right Censored,1.178771608,0.071429667,-36.868505,0,0
27,CAVALLI IS Hamaruru,8603,117,0,Right Censored,8.542977057,0.93160924,-34.976597,1,0.301029996
28,CAVALLI IS Haraweka,8549,117,0,Right Censored,6.221275137,0.793879409,-34.982009,0,0
29,CAVALLI IS Motuharakeke,8387,117,0,Right Censored,5.416035284,0.733681485,-35.000862,0,0
30,CAVALLI IS Motukawaiti,8277,117,0,Right Censored,45.91221524,1.661928248,-35.032497,0,0
31,CAVALLI IS Motukawanui,8537,117,0,Right Censored,382.0849445,2.582159925,-35.000081,0,0
32,CAVALLI IS Motutapere,8615,117,0,Right Censored,45.65309514,1.659470227,-34.971369,4,0.698970004
33,CAVALLI IS Nukutaunga,8587,117,0,Right Censored,13.0064777,1.114159701,-34.975611,1,0.301029996
34,CAVALLI IS Panaki,8595,117,0,Right Censored,15.31324463,1.18506722,-34.975917,1,0.301029996
35,"CENTRE(RAROTOKA) I.,Foveaux St",2179,97,1,Uncensored,103.3890657,2.014474611,-46.45675,1,0.301029996
36,"CHALKY I., Chalky Inlet",2781,101,1,Uncensored,511.6525813,2.708975169,-46.0525,2,0.477121255
37,CHETWODE IS Nukuwaiata,5491,94,1,Uncensored,185.3512919,2.267995617,-40.90093,4,0.698970004
38,CHETWODE IS Te Kakaho,5479,94,1,Uncensored,86.16753984,1.935343694,-40.89418,3,0.602059991
39,CHICKEN IS Coppermine,7379,97,1,Uncensored,76.81956254,1.88547183,-35.889194,2,0.477121255
40,CHICKEN IS Marotiri (Lady Alice),7391,94,1,Uncensored,145.7032687,2.163469295,-35.890236,2,0.477121255
41,CHICKEN IS Mauitaha,7404,117,0,Right Censored,3.315101127,0.520496781,-35.838575,0,0
42,CHICKEN IS Muriwhenua,7395,117,0,Right Censored,2.660599723,0.424979542,-35.884017,0,0
43,CHICKEN IS Whatupuke,7366,93,1,Uncensored,98.94097259,1.995376175,-35.88983,2,0.477121255
44,"COAL I., Preservation Inlet",2596,117,0,Right Censored,1195.188278,3.077436325,-46.119597,3,0.602059991
45,CODFISH I.,1868,97,1,Uncensored,1529.930098,3.184671588,-46.772541,3,0.602059991
46,"CONE I., Stephenson I. Gp",8684,117,0,Right Censored,6.975187045,0.843555858,-34.953211,1,0.301029996
47,"COOPER I.,Dusky Sd",3753,117,0,Right Censored,1778.963585,3.250167058,-35.884017,0,0
48,"CORDING IS,Preservation Inlet ""North""",2742,117,0,Right Censored,4.524974369,0.655616124,-46.066911,0,0
49,"CORDING IS,Preservation Inlet ""South""",2721,117,0,Right Censored,26.26880413,1.419440302,-46.074144,0,0
50,"CRAYFISH I.,Dusky Sd",3420,117,0,Right Censored,9.280955304,0.967592681,-45.791521,0,0
51,"CURLEW I.,Dusky Sd",3444,117,0,Right Censored,12.07759005,1.081980284,-45.78661,0,0
52,CUVIER I.,6851,93,1,Uncensored,169.3312863,2.228737208,-36.43668,3,0.602059991
53,"DOG I., Foveaux St",2017,117,0,Right Censored,18.88870083,1.276202088,-46.65079,0,0
54,D'URVILLE I.,311,117,0,Right Censored,16528.52555,4.218234113,-40.82646,0,0
55,"EAST(WHANGAOKENO) I.,East Cape",5984,97,1,Uncensored,12.96193473,1.11266983,-37.691097,2,0.477121255
56,"EDWARDS(MOTUNUI) I.,E.Stewart I.",1741,117,0,Right Censored,45.97521029,1.662523724,-46.834652,0,0
57,"ELEANOR I., Charles Sd",4271,117,0,Right Censored,6.488938534,0.81217366,-45.098304,0,0
58,"ELIZABETH I., Doubtful Sd",4065,117,0,Right Censored,66.03644461,1.819783683,-45.419034,0,0
59,"ENTRY I.,Breaksea Sd",209,117,0,Right Censored,38.48853002,1.585331325,-45.595718,0,0
60,"ERNEST I.,E. Stewart I.",929,117,0,Right Censored,16.80383711,1.225408463,-47.239416,0,0
61,"ERNEST IS.,W. Stewart I.",1533,117,0,Right Censored,70.57619575,1.848658245,-46.944012,1,0.301029996
62,"FERGUSSON I., Doubtful Sd",4073,117,0,Right Censored,12.33240545,1.091047795,-45.392939,0,0
63,"FIXED HEAD I.,Dusky Sd",3552,117,0,Right Censored,22.50763711,1.352329904,-45.758426,0,0
64,"FLAT(MOTUEKA) I., Whangaroa B.",8585,117,0,Right Censored,34.52647129,1.538152194,-34.9784,0,0
65,"FORSYTH I., Pelorus Sd",5369,117,0,Right Censored,766.7951388,2.884679351,-40.966948,0,0
66,"GARDEN IS, Chalky Inlet",2836,117,0,Right Censored,6.499241397,0.812862668,-46.032317,0,0
67,"GILBERT IS, Breaksea Sd Inner Gilbe",3927,117,0,Right Censored,24.74199702,1.39343475,-45.600759,0,0
68,"GILBERT IS, Breaksea Sd Inner Gilbe",3928,117,0,Right Censored,5.825597193,0.765340452,-45.5991,0,0
69,"GILBERT IS, Breaksea Sd Inner Gilbe",3933,117,0,Right Censored,19.54753197,1.291091932,-45.596294,0,0
70,"GILBERT IS, Breaksea Sd Inner Gilbe",3929,117,0,Right Censored,4.569267831,0.659846615,-45.598664,0,0
71,"GOAT I., Leigh",6948,117,0,Right Censored,13.38132612,1.126499155,-36.265861,2,0.477121255
72,"GOAT I., Paterson Inlet",1545,117,0,Right Censored,10.19305828,1.008304507,-46.957366,0,0
73,"GREAT I., Chalky Inlet",2952,117,0,Right Censored,740.2338054,2.869368915,-45.991792,1,0.301029996
74,"GREEN I., Foveaux St",1901,117,0,Right Censored,77.06109941,1.886835201,-46.768889,0,0
75,"GROPER I., Paterson Inlet",1548,117,0,Right Censored,7.390464527,0.868671737,-46.953114,0,0
76,"GREAT BARRIER, Aiguilles",7242,117,0,Right Censored,70.52901087,1.848367793,-36.034221,0,0
77,"GREAT BARRIER, Aotea (Gt Barrier)",7217,117,0,Right Censored,27721.14871,4.442811223,-36.194194,2,0.477121255
78,"GREAT BARRIER, Junction",6964,117,0,Right Censored,7.7466881,0.889116071,-36.233494,1,0.301029996
79,"GREAT BARRIER, Kaikoura",465,117,0,Right Censored,528.8097855,2.723299483,-36.180055,5,0.77815125
80,"GREAT BARRIER, Mahuki (Anvil)",6971,117,0,Right Censored,45.8366043,1.661212436,-36.234264,1,0.301029996
81,"GREAT BARRIER, Motuhaku",7115,117,0,Right Censored,39.73091562,1.599128574,-36.161583,1,0.301029996
82,"GREAT BARRIER, Motutaiko",6991,117,0,Right Censored,20.59626028,1.313788371,-36.218014,1,0.301029996
83,"GREAT BARRIER, Nelson",466,117,0,Right Censored,12.38814153,1.093006158,-36.16518,1,0.301029996
84,"GREAT BARRIER, Okokewa (Green)",7146,117,0,Right Censored,6.629838805,0.821502969,-36.142922,0,0
85,"GREAT BARRIER, Rangiahua",6983,117,0,Right Censored,62.29891053,1.794480452,-36.220652,1,0.301029996
86,"GREAT BARRIER, Unnam., S of Aiguill",7225,117,0,Right Censored,27.39675808,1.437699175,-36.046154,0,0
87,"GREAT BARRIER, Unnam., W of C. Barr",6871,117,0,Right Censored,11.8590477,1.074049816,-36.346848,0,0
88,"GREAT BARRIER, Unnam., S of Rosal",6886,117,0,Right Censored,9.0184932,0.955133982,-36.332685,0,0
89,"GREAT BARRIER, Whangara (Cliff)",6945,117,0,Right Censored,6.685536194,0.825136244,-36.255338,0,0
90,"HARAKEKE I., off C. Wiwiki",8120,117,0,Right Censored,11.47832147,1.059878384,-35.15418,2,0.477121255
91,"HARBOUR IS, Breaksea Sd ""North""",3964,117,0,Right Censored,7.807823358,0.892529979,-45.579298,0,0
92,"HARBOUR IS, Breaksea Sd ""South""",213,117,0,Right Censored,48.17001739,1.682776803,-45.585512,0,0
93,"HAULASHORE I.,Nelson",5086,117,0,Right Censored,6.313044718,0.800238866,-41.2675,2,0.477121255
94,"HAUTURU I., off Whangamata",6089,117,0,Right Censored,9.721248298,0.987722036,-37.214097,2,0.477121255
95,"HAWEA I., Breaksea Sd",208,86,1,Uncensored,8.198460557,0.913732312,-45.590361,1,0.301029996
96,"HAZELBURGH I., S of Ruapuke I.",1785,117,0,Right Censored,7.370927195,0.867522122,-46.821595,0,0
97,HEN (TARANGA) I.,499,111,1,Uncensored,489.91785,2.690123263,-35.962958,1,0.301029996
98,HEREKOPARE I.,1680,117,0,Right Censored,24.0742478,1.381552726,-46.86668,3,0.602059991
99,"HERON I.,Dusky Sd",3418,117,0,Right Censored,5.579521441,0.746596951,-45.795734,0,0
100,"HOKIANGA I., Ohiwa Hb.",5936,117,0,Right Censored,9.8275575,0.992445593,-38.020278,3,0.602059991
101,"INDIAN I., Dusky Sd",3514,117,0,Right Censored,167.5677087,2.224190331,-45.779611,3,0.602059991
102,"IONA I.,Paterson Inlet",1621,117,0,Right Censored,6.526707587,0.814694156,-46.90768,2,0.477121255
103,JACKY LEE(PUKEOKAOKA) I.,1706,117,0,Right Censored,30.20349199,1.480057157,-46.848528,0,0
104,"JOHN IS, Breaksea Sd ""East""",3970,117,0,Right Censored,10.61177273,1.02578794,-45.566074,0,0
105,"JOHN IS, Breaksea Sd ""West""",3968,117,0,Right Censored,45.13147011,1.65447948,-45.571783,0,0
106,"KAIMOHU I.,W Stewart I.",960,117,0,Right Censored,10.78118755,1.032666601,-47.202684,0,0
107,KAPITI I.,5525,96,1,Uncensored,1904.896558,3.279871397,-40.857111,9,1
108,"KARAMURAMU I., Hauraki Gulf",6237,117,0,Right Censored,7.189057873,0.85667198,-36.9244,0,0
109,"KAREWA I., Bay of Plenty",6066,117,0,Right Censored,4.479000898,0.65118115,-37.529944,0,0
110,KAWAU I.,6858,117,0,Right Censored,2032.497345,3.308029987,-36.423531,1,0.301029996
111,"KUNDY I.,Boat Gp",1162,117,0,Right Censored,21.07762759,1.323821727,-47.118847,1,0.301029996
112,"LIMESTONE I., Whangarei Hb",7430,117,0,Right Censored,38.72167053,1.587954085,-35.785013,9,1
113,LITTLE BARRIER(HAUTURU) I.,9152,104,1,Uncensored,3079.305548,3.488452784,-36.201694,6,0.84509804
114,"LITTLE I., Chalky Inlet",2961,117,0,Right Censored,24.56933153,1.390393341,-45.975159,0,0
115,"LONG I., Dusky Sd",3637,117,0,Right Censored,1899.407633,3.278618179,-45.762638,0,0
116,"LONG I., Queen Charlotte Sd",5197,97,1,Uncensored,114.3582361,2.058267448,-41.120044,1,0.301029996
117,"MACDONELL I., Bradshaw Sd",4170,117,0,Right Censored,19.38356743,1.287433709,-45.26775,0,0
118,"MAHURANGI I., Hahei Beach",6303,90,1,Uncensored,21.61854465,1.334826454,-36.830194,1,0.301029996
119,MANA I.,5219,89,1,Uncensored,220.1599229,2.342738264,-41.088764,3,0.602059991
120,"MANY IS, Dusky Sd",3506,117,0,Right Censored,14.2024267,1.152362557,-45.771678,0,0
121,MATAKANA I.,6077,117,0,Right Censored,6069.892789,3.78318102,-37.562245,0,0
122,MAUD I.,5275,93,1,Uncensored,318.040818,2.502482862,-41.025597,4,0.698970004
123,"MAYNE IS, Kawau Bay, Takangaroa",6846,117,0,Right Censored,4.389416788,0.64240682,-36.424847,2,0.477121255
124,MAYOR (TUHUA) I.,6081,100,1,Uncensored,1320.360495,3.120692522,-37.290416,4,0.698970004
125,"MERCURY IS, Ahuahu (Great Mercury)",433,117,0,Right Censored,1840.489851,3.264933427,-36.613347,4,0.698970004
126,"MERCURY IS, Double (Moturehu)",6608,89,1,Uncensored,28.88638086,1.460693133,-36.624097,1,0.301029996
127,"MERCURY IS, Green",6565,117,0,Right Censored,2.296442124,0.361055505,-36.643661,0,0
128,"MERCURY IS, Korapuki",420,87,1,Uncensored,17.16967809,1.234762153,-36.657694,2,0.477121255
129,"MERCURY IS, Middle",6577,117,0,Right Censored,10.99480599,1.04118757,-36.63768,1,0.301029996
130,"MERCURY IS, Red Mercury (Whakau)",6612,92,1,Uncensored,213.3296236,2.329051167,-36.62668,1,0.301029996
131,"MERCURY IS, Stanley (Kawhitihu)",6582,91,1,Uncensored,94.85175579,1.977045374,-36.64293,2,0.477121255
132,"MILFORD I., Whangaroa Hb",8298,117,0,Right Censored,32.32011842,1.509472943,-35.026325,0,0
133,"MOGGY IS, Mokinui (Big Moggy)",1100,106,1,Uncensored,101.1370753,2.00491039,-47.148763,2,0.477121255
134,"MOGGY IS, Mokiti (Little Moggy)",1099,117,0,Right Censored,10.36676794,1.015643377,-47.14043,1,0.301029996
135,"MOKOHINAU IS, Atihau (Trig)",7297,90,1,Uncensored,17.19364944,1.235368068,-35.913764,2,0.477121255
136,"MOKOHINAU IS, Burgess",7312,90,1,Uncensored,56.3682433,1.7510345,-35.905041,4,0.698970004
137,"MOKOHINAU IS, Fanal (Motukino)",7279,97,1,Uncensored,76.80153126,1.885369879,-35.942278,1,0.301029996
138,"MOKOHINAU IS, Flax (Maori Bay)",501,90,1,Uncensored,1.237452895,0.092528676,-35.914013,1,0.301029996
139,"MOTITI I., Bay of Plenty",6033,117,0,Right Censored,701.3669889,2.845945321,-37.625273,1,0.301029996
140,"MOTUANAURU I., Croisilles Hb.",5262,117,0,Right Censored,9.463723869,0.97606206,-41.041256,0,0
141,"MOTUARA I., Queen Charlotte Sd",5229,91,1,Uncensored,60.46828043,1.781527618,-41.092097,3,0.602059991
142,"MOTUAROHIA I., Bay of Islands",7852,109,1,Uncensored,65.35163409,1.815256451,-35.232291,3,0.602059991
143,"MOTUEKA I., Hahei Beach",6315,117,0,Right Censored,5.587115468,0.747187647,-36.819194,0,0
144,"MOTUHOA I., Tauranga Hb.",6022,117,0,Right Censored,107.2093745,2.030232762,-37.640887,0,0
145,"MOTUIHE I., Hauraki Gulf",6355,105,1,Uncensored,180.634037,2.256799588,-36.812097,9,1
146,"MOTUKAHAUA I., W. Coromandel",6563,117,0,Right Censored,17.82947635,1.251138588,-36.656518,0,0
147,"MOTUKARAMARAMA I.,W.Coromandel",6544,117,0,Right Censored,10.46424036,1.019707707,-36.679807,0,0
148,"MOTUKAURI I., Whangaruru Hb.",7695,117,0,Right Censored,5.76866146,0.761075053,-35.353909,0,0
149,"MOTUKETEKETE I.,S.of Kawau I.",6802,117,0,Right Censored,23.48004534,1.370698931,-36.470422,2,0.477121255
150,"MOTUKIEKIE I., Bay of Islands",7923,109,1,Uncensored,33.57420366,1.526005721,-35.217271,1,0.301029996
151,"MOTUKOPAKE I., W. Coromandel",6435,117,0,Right Censored,13.21020674,1.120909615,-36.753505,0,0
152,"MOTUKORANGA I., Mercury Bay",6413,117,0,Right Censored,6.3074735,0.799855435,-36.744976,0,0
153,"MOTUKORUENGA I., Mercury Bay",6456,117,0,Right Censored,4.670756792,0.669387254,-36.730234,0,0
154,"MOTUNAU I., Pegasus Bay",4774,62,1,Uncensored,3.764981955,0.575762899,-43.062,1,0.301029996
155,"MOTUNGAIO I., Tauranga Hb.",6031,117,0,Right Censored,20.17124732,1.304732754,-37.620477,0,0
156,"MOTUOPAO I., C.Maria van Dieman",8907,89,1,Uncensored,30.10369825,1.478619852,-34.4725,1,0.301029996
157,"MOTUORA I., S. of Kawau I.",6777,117,0,Right Censored,79.76516248,1.901813254,-36.505475,0,0
158,"MOTUOROI I., Anaura Bay",5922,117,0,Right Censored,16.45353008,1.216259089,-38.248965,0,0
159,"MOTUORUHI(GOAT) I.,W.Coromandel",6455,117,0,Right Censored,55.83109335,1.746876133,-36.742306,3,0.602059991
160,"MOTUREKAREKA I.,S. of Kawau I.",6794,117,0,Right Censored,15.1194495,1.179535979,-36.474169,1,0.301029996
161,"MOTUREMU I., Kaipara Hb.",6847,117,0,Right Censored,5.163413982,0.712936946,-36.422111,3,0.602059991
162,"MOTUROA I., Bay of Islands",7959,117,0,Right Censored,159.2674951,2.20212715,-35.211375,4,0.698970004
163,"MOTUROA IS, Rangaunu B., Green",8853,117,0,Right Censored,4.848871475,0.685640673,-34.781188,0,0
164,"MOTUROA IS, Rangaunu B., Moturoa",8866,117,0,Right Censored,10.94509262,1.039219441,-34.770381,0,0
165,"MOTUROA IS, Rangaunu B., Whale",8848,117,0,Right Censored,12.76317534,1.105958736,-34.78683,1,0.301029996
166,"MOTURUA I., Bay of Islands",7912,109,1,Uncensored,162.1915604,2.210028252,-35.222944,6,0.84509804
167,"MOTURUA(RABBIT) I.,W.Coromandel",6527,117,0,Right Censored,26.91677924,1.430023093,-36.697574,0,0
168,"MOTUTAPERE I., W. Coromandel",6354,117,0,Right Censored,185.3512919,2.267995617,-36.780778,5,0.77815125
169,"MOTUTAPU I., Hauraki Gulf",403,89,1,Uncensored,1550.700942,3.190528051,-36.766211,16,1.230448921
170,"MOTUWI I., W. Coromandel",6547,117,0,Right Censored,18.52855165,1.267841472,-36.675633,0,0
171,"MURIMOTU I., North Cape",8944,117,0,Right Censored,8.992666603,0.953888493,-34.414692,0,0
172,"NATIVE I., Paterson Inlet",1614,117,0,Right Censored,62.4182873,1.795311848,-46.917013,7,0.903089987
173,"NEE I., Doubtful Sd",4176,117,0,Right Censored,4.875987383,0.688062573,-45.246317,0,0
174,"NOBLE I., Port Pegasus",972,117,0,Right Censored,161.940818,2.209356329,-47.214957,0,0
175,"NOISES IS, Hauraki Gulf, Motuhoropa",6543,103,1,Uncensored,8.881345247,0.948478753,-36.690589,7,0.903089987
176,"NOISES IS, Hauraki Gulf, Otata",6541,103,1,Uncensored,16.56265332,1.219129912,-36.696516,7,0.903089987
177,"NOMANS I., Dusky Sd",3485,117,0,Right Censored,20.04985966,1.302111337,-45.77788,0,0
178,"NORTH I., NE Stewart I.",1770,117,0,Right Censored,7.538644056,0.877293238,-46.816271,0,0
179,"OHAKANA I., Ohiwa Hb.",5965,117,0,Right Censored,46.15801166,1.664247093,-37.989583,2,0.477121255
180,"OHAURORO(PEACH) I.,Whangaroa Hb.",8315,117,0,Right Censored,10.80349429,1.033564247,-35.020764,1,0.301029996
181,OHENA IS: Ohinau,6469,105,1,Uncensored,41.95507312,1.622784482,-36.728666,3,0.602059991
182,OHENA IS: Ohinauiti,6482,117,0,Right Censored,5.278089509,0.722476751,-36.716654,0,0
183,"OKAHU I., Bay of Islands",8042,109,1,Uncensored,27.71201284,1.442668072,-35.200013,2,0.477121255
184,"OKE I., Dusky Sd",3878,117,0,Right Censored,34.86264003,1.542360272,-45.637155,0,0
185,"ONLY IS, Preservation Inlet",3015,117,0,Right Censored,13.54757333,1.13186151,-45.960524,0,0
186,OPEN BAY IS. Taumaka,4603,117,0,Right Censored,14.28915846,1.155006652,-43.860209,0,0
187,"OTUHAEREROA I.,Croisilles Hb.",5267,117,0,Right Censored,20.99474511,1.322110606,-41.040417,0,0
188,"OTUWHANGA I., Cape Brett",8088,117,0,Right Censored,6.098819352,0.78524577,-35.170709,0,0
189,"OWEN I., SE Stewart I.",1193,117,0,Right Censored,32.96600318,1.518066296,-47.125444,1,0.301029996
190,"PAKATOA I., Hauraki Gulf",6361,117,0,Right Censored,27.38879645,1.437572948,-36.796777,2,0.477121255
191,"PAKIHI I., Hauraki Gulf",6252,117,0,Right Censored,114.8757377,2.060228313,-36.909144,2,0.477121255
192,"PARROT I., Dusky Sd",3731,117,0,Right Censored,40.18462052,1.604059871,-45.708,1,0.301029996
193,"PASSAGE IS,Chalky Inlet, ""N. Passag",2861,117,0,Right Censored,10.14493269,1.00624917,-46.0165,1,0.301029996
